0,1,2,grammared,tled,time
000000179898.jpg,เด็กชายหนุ่มที่ถือฮอตด็อกไว้ในกระเป๋า,a young boy holding a hot dog in a bun ,เด็กชายหนุ่มถือฮอตด็อกไว้ในกระเป๋า,เด็กหนุ่มกินฮอตดอกในขนมปัง,2.6425528526306152
000000568213.jpg,ชายสองคนเล่นฟริสบี้บนสนามหญ้า,two men playing frisbee on a grassy field ,,,0.0
000000405306.jpg,แมวที่นอนอยู่บนเตียง,a cat laying on top of a bed ,แมวนอนอยู่บนเตียง,แมวนอนอยู่บนเตียง,1.498196363449097
000000572517.jpg,หมีขั้วโลกยืนอยู่บนก้อนหิน ริมทะเลสาบ,a polar bear standing on top of a rock next to a pond ,,,0.0
000000453302.jpg,ห้องครัวพร้อมกับตู้เย็น มิคโรเวฟ ช่างน้ําและเครื่องซักจาน ,"a kitchen with a refrigerator, microwave, sink and dishwasher ",,,0.0
000000320425.jpg,จิราฟ่ายืนอยู่ในพื้นที่ที่ล้ํารั้ว,giraffes are standing in a fenced area ,,,0.0
000000347456.jpg,ช้างสองตัวยืนอยู่บนสนามหญ้าข้างต้นไม้,two elephants standing in a grassy field next to trees ,ช้างสองตัวยืนอยู่บนสนามหญ้าข้างต้นไม้,สองช้างยืนอยู่ในสนามหญ้าอันเขียวขจีซึ่งอยู่ใกล้ต้นไม้,2.715442419052124
000000106389.jpg,แมวที่นั่งอยู่บนเก้าอี้ในห้อง,a cat sitting on top of a chair in a room ,,,0.0
000000091500.jpg,ผู้ชายที่นั่งนั่งเล่นเกมวีดีโอ,a man sitting in a chair playing a video game ,ผู้ชายนั่งเล่นวีดีโอเกม,ชายคนหนึ่งนั่งเก้าอี้เล่นวิดีโอเกม,1.9713172912597656
000000360951.jpg,โต๊ะทํางานของคอมพิวเตอร์ที่มีจอสองตัว และคอมพิวเตอร์เล็ตป๊อต,a computer desk with two monitors and a laptop ,,,0.0
000000025139.jpg,เซเบร่าที่ยืนอยู่ข้างๆ ตั้วไม้,a zebra standing next to a wooden fence ,เซเบร่ายืนอยู่ข้างตั้วไม้,เสือชีต้ายืนอยู่ข้างผนังไม้,1.662952184677124
000000129062.jpg,ร้านอาหารที่มีเครื่องหมายสีเนออนอยู่ด้านข้าง,a restaurant with a neon sign on the side ,,,0.0
000000526103.jpg,ช้างขนาดใหญ่ยืนอยู่ข้างหน้าเครื่องหมาย,a large elephant standing next to a sign ,ช้างขนาดใหญ่ยืนอยู่ข้างหน้าเครื่องหมาย,ช้างตัวใหญ่ยืนอยู่ข้างป้าย,1.9259827136993408
000000039480.jpg,ผู้หญิงที่ถือกระสุนเทนนิสอยู่บนสนามฟุตบอล,a woman holding a tennis racquet on a court ,,,0.0
000000500663.jpg,ม้าเลี้ยงที่สนามใกล้กับป่า,horses graze in a field near a forest ,ม้าเลี้ยงอยู่ในสนามใกล้ป่า,ม้ากินหญ้าในสนามหญ้าใกล้ป่า,1.675633668899536
